# id    length  x       y       z       rot_z   rot_y   rot_x   
1       0.4   0.3367   0.3367   0.0     0.0     -0.0    0.0
2       0.4  -0.3367  -0.3367   0.0     0.0     -0.0    0.0
3       0.4  -0.3367   0.3367   0.0     0.0     -0.0    0.0
4       0.4   0.3367  -0.3367   0.0     0.0     -0.0    0.0
5       0.06   0.0      0.0951   0.0     0.0     -0.0    0.0
6       0.06   0.0     -0.0951   0.0     0.0     -0.0    0.0
7       0.11   0.0      0.2495   0.0     0.0     -0.0    0.0
8       0.11   0.0     -0.2495   0.0     0.0     -0.0    0.0
9       0.15   0.0      0.4550   0.0     0.0     -0.0    0.0
10      0.15   0.0     -0.4550   0.0     0.0     -0.0    0.0
11      0.15   0.4550   0.0      0.0     0.0     -0.0    0.0
12      0.15   0.2184   0.0      0.0     0.0     -0.0    0.0
13      0.15  -0.4550   0.0      0.0     0.0     -0.0    0.0
14      0.15  -0.2184   0.0      0.0     0.0     -0.0    0.0
15      0.015   0.0      0.0      0.0     0.0     -0.0    0.0
16      0.4   1.0101   0.3367   0.0     0.0     -0.0    0.0
18      0.4   1.0101  -0.3367   0.0     0.0     -0.0    0.0
20      0.06   0.6734   0.0951   0.0     0.0     -0.0    0.0
21      0.06   0.6734  -0.0951   0.0     0.0     -0.0    0.0
22      0.11   0.6734   0.2495   0.0     0.0     -0.0    0.0
23      0.11   0.6734  -0.2495   0.0     0.0     -0.0    0.0
24      0.15   0.6734   0.4550   0.0     0.0     -0.0    0.0
25      0.15   0.6734  -0.4550   0.0     0.0     -0.0    0.0
26      0.15   1.1284   0.0      0.0     0.0     -0.0    0.0
27      0.15   0.8918   0.0      0.0     0.0     -0.0    0.0
28      0.015   0.6734   0.0      0.0     0.0     -0.0    0.0
29      0.4  -1.0101   0.3367   0.0     0.0     -0.0    0.0
94      0.4  -1.0101  -0.3367   0.0     0.0     -0.0    0.0
31      0.06  -0.6734   0.0951   0.0     0.0     -0.0    0.0
32      0.06  -0.6734  -0.0951   0.0     0.0     -0.0    0.0
33      0.11  -0.6734   0.2495   0.0     0.0     -0.0    0.0
34      0.11  -0.6734  -0.2495   0.0     0.0     -0.0    0.0
35      0.15  -0.6734   0.4550   0.0     0.0     -0.0    0.0
36      0.15  -0.6734  -0.4550   0.0     0.0     -0.0    0.0
92      0.15  -1.1284   0.0      0.0     0.0     -0.0    0.0
38      0.15  -0.8918   0.0      0.0     0.0     -0.0    0.0
39      0.015  -0.6734   0.0      0.0     0.0     -0.0    0.0
40      0.4   1.6835   0.3367   0.0     0.0     -0.0    0.0
97      0.4   1.6835  -0.3367   0.0     0.0     -0.0    0.0
42      0.06   1.3468   0.0951   0.0     0.0     -0.0    0.0
43      0.06   1.3468  -0.0951   0.0     0.0     -0.0    0.0
44      0.11   1.3468   0.2495   0.0     0.0     -0.0    0.0
45      0.11   1.3468  -0.2495   0.0     0.0     -0.0    0.0
46      0.15   1.3468   0.4550   0.0     0.0     -0.0    0.0
47      0.15   1.3468  -0.4550   0.0     0.0     -0.0    0.0
48      0.15   1.5652   0.0      0.0     0.0     -0.0    0.0
49      0.15   1.8018   0.0      0.0     0.0     -0.0    0.0
50      0.015   1.3468   0.0      0.0     0.0     -0.0    0.0
51      0.4   2.3569   0.3367   0.0     0.0     -0.0    0.0
52      0.4   2.3569  -0.3367   0.0     0.0     -0.0    0.0
53      0.06   2.0202   0.0951   0.0     0.0     -0.0    0.0
54      0.06   2.0202  -0.0951   0.0     0.0     -0.0    0.0
55      0.11   2.0202   0.2495   0.0     0.0     -0.0    0.0
56      0.11   2.0202  -0.2495   0.0     0.0     -0.0    0.0
57      0.15   2.0202   0.4550   0.0     0.0     -0.0    0.0
58      0.15   2.0202  -0.4550   0.0     0.0     -0.0    0.0
59      0.15   2.2386   0.0      0.0     0.0     -0.0    0.0
96      0.15   2.4752   0.0      0.0     0.0     -0.0    0.0
61      0.015   2.0202   0.0      0.0     0.0     -0.0    0.0
